nation_code,nation_name,formation,xi
MEX,Mexico,4-3-3,"GK: Guillermo Ochoa; RB: Jorge Sanchez; CB: Cesar Montes; CB: Johan Vasquez; LB: Jesus Gallardo; CM: Edson Alvarez; CM: Luis Chavez; CM: Orbelin Pineda; RW: Roberto Alvarado; ST: Santiago Gimenez; LW: Cesar Huerta"
RSA,South Africa,4-2-3-1,"GK: Ronwen Williams; RB: Khuliso Mudau; CB: Mothobi Mvala; CB: Siyanda Xulu; LB: Aubrey Modiba; DM: Teboho Mokoena; DM: Sphephelo Sithole; RW: Percy Tau; AM: Themba Zwane; LW: Elias Mokwana; ST: Lyle Foster"
KOR,South Korea,4-2-3-1,"GK: Jo Hyun-Woo; RB: Seol Young-Woo; CB: Kim Min-Jae; CB: Lee Han-Beom; LB: Lee Tae-Seok; DM: Hwang In-Beom; DM: Paik Seung-Ho; RW: Lee Kang-In; AM: Lee Jae-Sung; LW: Hwang Hee-Chan; ST: Son Heung-Min"
CZE,Czechia,3-4-2-1,"GK: Jindrich Stanek; RCB: Tomas Holes; CB: Ladislav Krejci; LCB: David Zima; RWB: Vladimir Coufal; CM: Tomas Soucek; CM: Lukas Provod; LWB: David Jurasek; AM: Adam Hlozek; AM: Pavel Sulc; ST: Patrik Schick"
CAN,Canada,3-4-2-1,"GK: Maxime Crepeau; CB: Alistair Johnston; CB: Moise Bombito; CB: Derek Cornelius; RWB: Tajon Buchanan; CM: Stephen Eustaquio; CM: Ismael Kone; LWB: Alphonso Davies; AM: Jonathan David; AM: Cyle Larin; ST: Tani Oluwaseyi"
BIH,Bosnia and Herzegovina,4-2-3-1,"GK: Nikola Vasilj; RB: Amar Dedic; CB: Dennis Hadzikadunic; CB: Sead Kolasinac; LB: Nidal Celik; DM: Benjamin Tahirovic; DM: Amir Hadziahmetovic; RW: Esmir Bajraktarevic; AM: Kerim Alajbegovic; LW: Ermedin Demirovic; ST: Edin Dzeko"
QAT,Qatar,3-5-2,"GK: Meshaal Barsham; RCB: Pedro Miguel; CB: Boualem Khoukhi; LCB: Lucas Mendes; RWB: Homam Al-Amin; CM: Assim Madibo; CM: Jassim Gaber; CM: Abdulaziz Hatem; LWB: Akram Afif; ST: Almoez Ali; ST: Yusuf Abdurisag"
SUI,Switzerland,3-4-2-1,"GK: Gregor Kobel; RCB: Nico Elvedi; CB: Manuel Akanji; LCB: Ricardo Rodriguez; RWB: Silvan Widmer; CM: Granit Xhaka; CM: Remo Freuler; LWB: Miro Muheim; AM: Dan Ndoye; AM: Ruben Vargas; ST: Breel Embolo"
BRA,Brazil,4-2-3-1,"GK: Alisson; RB: Danilo; CB: Marquinhos; CB: Gabriel Magalhaes; LB: Alex Sandro; DM: Bruno Guimaraes; DM: Casemiro; RW: Raphinha; AM: Neymar; LW: Vinicius Junior; ST: Matheus Cunha"
HAI,Haiti,4-3-3,"GK: Johny Placide; RB: Carlens Arcus; CB: Ricardo Ade; CB: Jean-Kevin Duverne; LB: Hannes Delcroix; CM: Danley Jean Jacques; CM: Jean-Ricner Bellegarde; CM: Leverton Pierre; RW: Duckens Nazon; ST: Frantzdy Pierrot; LW: Wilson Isidor"
MAR,Morocco,4-3-3,"GK: Yassine Bounou; RB: Achraf Hakimi; CB: Nayef Aguerd; CB: Romain Saiss; LB: Noussair Mazraoui; CM: Sofyan Amrabat; CM: Azzedine Ounahi; CM: Bilal El Khannouss; RW: Hakim Ziyech; ST: Youssef En-Nesyri; LW: Brahim Diaz"
SCO,Scotland,3-4-2-1,"GK: Angus Gunn; RCB: John Souttar; CB: Grant Hanley; LCB: Kieran Tierney; RWB: Aaron Hickey; CM: Billy Gilmour; CM: Scott McTominay; LWB: Andy Robertson; AM: John McGinn; AM: Ryan Christie; ST: Che Adams"
USA,United States,4-3-3,"GK: Matt Turner; RB: Sergino Dest; CB: Chris Richards; CB: Tim Ream; LB: Antonee Robinson; CM: Tyler Adams; CM: Weston McKennie; CM: Yunus Musah; RW: Christian Pulisic; ST: Folarin Balogun; LW: Giovanni Reyna"
PAR,Paraguay,4-2-3-1,"GK: Roberto Fernandez; RB: Juan Caceres; CB: Gustavo Gomez; CB: Junior Alonso; LB: Diego Leon; DM: Andres Cubas; DM: Mathias Villasanti; RW: Ramon Sosa; AM: Miguel Almiron; LW: Julio Enciso; ST: Antonio Sanabria"
AUS,Australia,4-2-3-1,"GK: Mat Ryan; RB: Nathaniel Atkinson; CB: Harry Souttar; CB: Kye Rowles; LB: Aziz Behich; DM: Jackson Irvine; DM: Keanu Baccus; RW: Craig Goodwin; AM: Riley McGree; LW: Martin Boyle; ST: Mitchell Duke"
TUR,Turkey,4-2-3-1,"GK: Ugurcan Cakir; RB: Zeki Celik; CB: Merih Demiral; CB: Abdulkerim Bardakci; LB: Eren Elmali; DM: Hakan Calhanoglu; DM: Ismail Yuksek; RW: Arda Guler; AM: Orkun Kokcu; LW: Kenan Yildiz; ST: Baris Alper Yilmaz"
CUW,Curacao,4-2-3-1,"GK: Eloy Room; RB: Joshua Brenet; CB: Riechedly Bazoer; CB: Roshon van Eijma; LB: Jurien Gaari; DM: Leandro Bacuna; DM: Juninho Bacuna; RW: Tahith Chong; AM: Sontje Hansen; LW: Brandley Kuwas; ST: Jurgen Locadia"
ECU,Ecuador,3-4-2-1,"GK: Hernan Galindez; CB: Felix Torres; CB: Willian Pacho; CB: Piero Hincapie; RWB: Angelo Preciado; CM: Moises Caicedo; CM: Alan Franco; LWB: Pervis Estupinan; AM: Kendry Paez; AM: Gonzalo Plata; ST: Enner Valencia"
GER,Germany,4-2-3-1,"GK: Manuel Neuer; RB: Joshua Kimmich; CB: Antonio Rudiger; CB: Nico Schlotterbeck; LB: David Raum; DM: Aleksandar Pavlovic; DM: Leon Goretzka; RW: Leroy Sane; AM: Florian Wirtz; LW: Jamal Musiala; ST: Kai Havertz"
CIV,Cote d'Ivoire,4-3-3,"GK: Yahia Fofana; RB: Guela Doue; CB: Odilon Kossounou; CB: Evan Ndicka; LB: Ghislain Konan; CM: Ibrahim Sangare; CM: Franck Kessie; CM: Seko Fofana; RW: Amad Diallo; ST: Elye Wahi; LW: Simon Adingra"
JPN,Japan,4-2-3-1,"GK: Zion Suzuki; RB: Yukinari Sugawara; CB: Ko Itakura; CB: Takehiro Tomiyasu; LB: Hiroki Ito; DM: Wataru Endo; DM: Ao Tanaka; RW: Takefusa Kubo; AM: Daichi Kamada; LW: Ritsu Doan; ST: Ayase Ueda"
NED,Netherlands,3-4-2-1,"GK: Bart Verbruggen; CB: Matthijs de Ligt; CB: Virgil van Dijk; CB: Nathan Ake; RWB: Denzel Dumfries; CM: Frenkie de Jong; CM: Tijjani Reijnders; LWB: Jeremie Frimpong; AM: Xavi Simons; AM: Cody Gakpo; ST: Memphis Depay"
SWE,Sweden,4-4-2,"GK: Viktor Johansson; RB: Emil Holm; CB: Victor Lindelof; CB: Isak Hien; LB: Gabriel Gudmundsson; RM: Anthony Elanga; CM: Lucas Bergvall; CM: Yasin Ayari; LM: Ken Sema; ST: Alexander Isak; ST: Viktor Gyokeres"
TUN,Tunisia,4-3-3,"GK: Aymen Dahmen; RB: Yan Valery; CB: Montassar Talbi; CB: Dylan Bronn; LB: Ali Abdi; CM: Ellyes Skhiri; CM: Hannibal Mejbri; CM: Anis Ben Slimane; RW: Elias Achouri; ST: Hazem Mastouri; LW: Ismael Gharbi"
BEL,Belgium,4-2-3-1,"GK: Thibaut Courtois; RB: Timothy Castagne; CB: Zeno Debast; CB: Arthur Theate; LB: Maxim De Cuyper; DM: Amadou Onana; DM: Youri Tielemans; RW: Jeremy Doku; AM: Kevin De Bruyne; LW: Leandro Trossard; ST: Romelu Lukaku"
EGY,Egypt,4-3-3,"GK: Mohamed El Shenawy; RB: Mohamed Hany; CB: Mohamed Abdelmonem; CB: Yasser Ibrahim; LB: Ahmed Fatouh; CM: Marwan Ateya; CM: Emam Ashour; CM: Mahmoud Trezeguet; RW: Mohamed Salah; ST: Omar Marmoush; LW: Ibrahim Adel"
IRN,Iran,4-2-3-1,"GK: Alireza Beiranvand; RB: Ramin Rezaeian; CB: Hossein Kanaani; CB: Shoja Khalilzadeh; LB: Milad Mohammadi; DM: Saeid Ezatolahi; DM: Saman Ghoddos; RW: Alireza Jahanbakhsh; AM: Mehdi Ghaedi; LW: Mohammad Mohebi; ST: Mehdi Taremi"
NZL,New Zealand,4-3-3,"GK: Max Crocombe; RB: Tim Payne; CB: Tyler Bindon; CB: Michael Boxall; LB: Liberato Cacace; CM: Joe Bell; CM: Marko Stamenic; CM: Sarpreet Singh; RW: Callum McCowatt; ST: Chris Wood; LW: Ben Old"
CPV,Cabo Verde,4-3-3,"GK: Vozinha; RB: Steven Moreira; CB: Logan Costa; CB: Pico; LB: Joao Paulo; CM: Kevin Pina; CM: Jamiro Monteiro; CM: Deroy Duarte; RW: Garry Rodrigues; ST: Dailon Livramento; LW: Ryan Mendes"
SAU,Saudi Arabia,4-2-3-1,"GK: Mohammed Al-Owais; RB: Saud Abdulhamid; CB: Hassan Tambakti; CB: Ali Al-Bulaihi; LB: Yasser Al-Shahrani; DM: Mohamed Kanno; DM: Abdulelah Al-Malki; RW: Salem Al-Dawsari; AM: Sami Al-Najei; LW: Firas Al-Buraikan; ST: Saleh Al-Shehri"
ESP,Spain,4-3-3,"GK: Unai Simon; RB: Pedro Porro; CB: Pau Cubarsi; CB: Aymeric Laporte; LB: Marc Cucurella; CM: Rodri; CM: Pedri; CM: Fabian Ruiz; RW: Lamine Yamal; ST: Mikel Oyarzabal; LW: Nico Williams"
URU,Uruguay,4-3-3,"GK: Sergio Rochet; RB: Nahitan Nandez; CB: Ronald Araujo; CB: Jose Maria Gimenez; LB: Matias Vina; CM: Manuel Ugarte; CM: Federico Valverde; CM: Rodrigo Bentancur; RW: Facundo Pellistri; ST: Darwin Nunez; LW: Luis Suarez"
FRA,France,4-2-3-1,"GK: Mike Maignan; RB: Jules Kounde; CB: William Saliba; CB: Ibrahima Konate; LB: Theo Hernandez; DM: Aurelien Tchouameni; DM: Adrien Rabiot; RW: Ousmane Dembele; AM: Michael Olise; LW: Kylian Mbappe; ST: Marcus Thuram"
IRQ,Iraq,4-2-3-1,"GK: Jalal Hassan; RB: Hussein Ali; CB: Rebin Sulaka; CB: Zaid Tahseen; LB: Merchas Doski; DM: Amir Al-Ammari; DM: Zidane Iqbal; RW: Ali Jasim; AM: Bashar Resan; LW: Youssef Amyn; ST: Aymen Hussein"
NOR,Norway,4-3-3,"GK: Orjan Nyland; RB: Julian Ryerson; CB: Kristoffer Ajer; CB: Leo Ostigard; LB: David Moller Wolfe; CM: Sander Berge; CM: Martin Odegaard; CM: Fredrik Aursnes; RW: Oscar Bobb; ST: Erling Haaland; LW: Antonio Nusa"
SEN,Senegal,4-3-3,"GK: Edouard Mendy; RB: Krepin Diatta; CB: Kalidou Koulibaly; CB: Moussa Niakhate; LB: Ismail Jakobs; CM: Idrissa Gana Gueye; CM: Pape Matar Sarr; CM: Lamine Camara; RW: Ismaila Sarr; ST: Nicolas Jackson; LW: Sadio Mane"
DZA,Algeria,4-3-3,"GK: Anthony Mandrea; RB: Youcef Atal; CB: Aissa Mandi; CB: Ramy Bensebaini; LB: Rayan Ait-Nouri; CM: Ismael Bennacer; CM: Houssem Aouar; CM: Nabil Bentaleb; RW: Riyad Mahrez; ST: Amine Gouiri; LW: Said Benrahma"
ARG,Argentina,4-3-3,"GK: Emiliano Martinez; RB: Nahuel Molina; CB: Cristian Romero; CB: Lisandro Martinez; LB: Nicolas Tagliafico; CM: Rodrigo De Paul; CM: Enzo Fernandez; CM: Alexis Mac Allister; RW: Lionel Messi; ST: Lautaro Martinez; LW: Julian Alvarez"
AUT,Austria,4-2-3-1,"GK: Patrick Pentz; RB: Stefan Posch; CB: Kevin Danso; CB: David Alaba; LB: Alexander Prass; DM: Nicolas Seiwald; DM: Konrad Laimer; RW: Patrick Wimmer; AM: Christoph Baumgartner; LW: Marcel Sabitzer; ST: Marko Arnautovic"
JOR,Jordan,3-4-3,"GK: Yazid Abulaila; RCB: Abdallah Nasib; CB: Yazan Al-Arab; LCB: Mohammad Abualnadi; RWB: Ehsan Haddad; CM: Nizar Al-Rashdan; CM: Noor Al-Rawabdeh; LWB: Mohammed Abu Hashish; RW: Mousa Al-Tamari; ST: Ali Olwan; LW: Ibrahim Sabra"
COL,Colombia,4-2-3-1,"GK: Camilo Vargas; RB: Daniel Munoz; CB: Davinson Sanchez; CB: Jhon Lucumi; LB: Johan Mojica; DM: Jefferson Lerma; DM: Richard Rios; RW: Jhon Arias; AM: James Rodriguez; LW: Luis Diaz; ST: Jhon Cordoba"
COD,DR Congo,4-2-3-1,"GK: Lionel Mpasi; RB: Aaron Wan-Bissaka; CB: Chancel Mbemba; CB: Dylan Batubinsika; LB: Arthur Masuaku; DM: Edo Kayembe; DM: Charles Pickel; RW: Theo Bongonda; AM: Gael Kakuta; LW: Yoane Wissa; ST: Cedric Bakambu"
POR,Portugal,4-3-3,"GK: Diogo Costa; RB: Joao Cancelo; CB: Ruben Dias; CB: Goncalo Inacio; LB: Nuno Mendes; CM: Vitinha; CM: Joao Neves; CM: Bruno Fernandes; RW: Bernardo Silva; ST: Cristiano Ronaldo; LW: Rafael Leao"
UZB,Uzbekistan,3-4-2-1,"GK: Utkir Yusupov; RCB: Rustamjon Ashurmatov; CB: Abdukodir Khusanov; LCB: Farrukh Sayfiev; RWB: Khojiakbar Alijonov; CM: Odiljon Khamrobekov; CM: Otabek Shukurov; LWB: Sherzod Nasrullaev; AM: Abbosbek Fayzullaev; AM: Jaloliddin Masharipov; ST: Eldor Shomurodov"
CRO,Croatia,4-3-3,"GK: Dominik Livakovic; RB: Josip Stanisic; CB: Josko Gvardiol; CB: Josip Sutalo; LB: Duje Caleta-Car; CM: Luka Modric; CM: Mateo Kovacic; CM: Petar Sucic; RW: Ivan Perisic; ST: Andrej Kramaric; LW: Ante Budimir"
ENG,England,4-2-3-1,"GK: Jordan Pickford; RB: Reece James; CB: John Stones; CB: Marc Guehi; LB: Dan Burn; DM: Declan Rice; DM: Jude Bellingham; RW: Bukayo Saka; AM: Morgan Rogers; LW: Marcus Rashford; ST: Harry Kane"
GHA,Ghana,4-2-3-1,"GK: Lawrence Ati-Zigi; RB: Alidu Seidu; CB: Alexander Djiku; CB: Mohammed Salisu; LB: Gideon Mensah; DM: Thomas Partey; DM: Salis Abdul Samed; RW: Mohammed Kudus; AM: Andre Ayew; LW: Kamaldeen Sulemana; ST: Inaki Williams"
